Q#,Category,Question,Formula (with named ranges),Answer (13-32 only; 1-12 & 33-36 are per-employee)
26,SUMIF Function,Find the total Marks of employees whose Attendance is 90% or above.,"=SUMIF(E2:E11,"">=0.9"",C2:C11)",359
27,SUMIF Function,"Find the total Marks of employees earning more than 40,000.","=SUMIF(D2:D11,"">40000"",C2:C11)",571
28,SUMIF Function,Find the total Marks of IT employees.,"=SUMIF(B2:B11,""IT"",C2:C11)",323
29,SUMIF Function,Find the total Salary of employees who scored below 70.,"=SUMIF(C2:C11,""<70"",D2:D11)",118000
30,Practical/Interview,"Use COUNTIF with IF: Count IT employees. If the count is more than 3, show ""Large Team""; otherwise show ""Small Team.""","=IF(COUNTIF(B2:B11,""IT"")>3,""Large Team"",""Small Team"")",Large Team
31,Practical/Interview,"Use SUMIF with IF: Find total IT payroll. If it is above 1,50,000, show ""High Payroll""; otherwise show ""Low Payroll.""","=IF(SUMIF(B2:B11,""IT"",D2:D11)>150000,""High Payroll"",""Low Payroll"")",High Payroll
32,Practical/Interview,"Use COUNTIF with IFS: Classify the number of employees scoring 80+: 5+ Excellent, 3-4 Good, 1-2 Average, 0 Poor.","=IFS(COUNTIF(C2:C11,"">=80"")>=5,""Excellent"",COUNTIF(C2:C11,"">=80"")>=3,""Good"",COUNTIF(C2:C11,"">=80"")>=1,""Average"",TRUE,""Poor"")",Good
33,Practical/Interview,"Use IF with AND: Show ""Selected"" only when Marks are at least 70 and Attendance is at least 80%; otherwise show ""Rejected.""","=IF(AND(Marks>=70,Attendance>=0.8),""Selected"",""Rejected"")",
34,Practical/Interview,"Use IF with OR: Show ""Bonus Eligible"" when Marks are at least 90 or Attendance is at least 95%; otherwise show ""Not Eligible.""","=IF(OR(Marks>=90,Attendance>=0.95),""Bonus Eligible"",""Not Eligible"")",
35,Practical/Interview,"Show ""Priority"" when the employee is from IT and has Marks of at least 80; otherwise show ""Normal.""","=IF(AND(Department=""IT"",Marks>=80),""Priority"",""Normal"")",
36,Practical/Interview,"Show ""Review Required"" when Marks are below 60 or Attendance is below 75%; otherwise show ""On Track.""","=IF(OR(Marks<60,Attendance<0.75),""Review Required"",""On Track"")",
